Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
13-01-2018,SRILANKANUPGRADE KATUNAYAKE         ,9,0,EUR,Rahul,International,KATUNAYAKE
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE      ,0,6,USD,Rahul,International,KATUNAYAKE
17-01-2018,FOOT RUB BERLIN                  ,19,0,EUR,Rahul,International,BERLIN
28-01-2018,California Games CALIFORNIA         ,108,0,USD,Rahul,International,CALIFORNIA
28-01-2018,FLIPKART INTERNET PRIVA BANGALORE,34980,0,INR,Rahul,Domestic,BANGALORE
28-01-2018,INDIAN RAILWAY CATERINGNEW DELHI,1099,0,INR,Rahul,Domestic,DELHI
28-01-2018,TIPSY CATERERS JAIPUR,660,0,INR,Rahul,Domestic,JAIPUR
29-01-2018,INDIAN RAILWAY CATERINGNEW DELHI,0,3390,INR,Rahul,Domestic,DELHI
29-01-2018,MAKEMYTRIP INDIA PVT LT NEW DELHI,57181,0,INR,Rahul,Domestic,DELHI
30-01-2018,INDIAN RAILWAY CATERING NEW DELHI,0,680,INR,Rahul,Domestic,DELHI
30-01-2018,NewYorkShop NEWYORK                 ,219,0,USD,Rahul,International,NEWYORK
03-02-2018,O WINGS DUSSELDOR                ,8,0,EUR,Rahul,International,DUSSELDOR
09-02-2018,SILVER GALERIE A UNIT    GURGAON,1250,0,INR,Ritu,Domestic,GURGAON
18-02-2018,DECATHLON SPORTS INDIA GURGAON,949,0,INR,Ritu,Domestic,GURGAON
22-02-2018,FEETOES GURGAON,0,1845,INR,Ritu,Domestic,GURGAON
26-02-2018,MONTE CARLO            GURGAON,0,413,INR,Ritu,Domestic,GURGAON
30-02-2018,LITTLE BURGUNDY        GURGAON,1938,0,INR,Ritu,Domestic,GURGAON
30-02-2018,THE ROOM               GURGAON,0,456,INR,Ritu,Domestic,GURGAON
31-02-2018,DNA PHARMACY           GURUGRAM,0,1650,INR,Ritu,Domestic,GURUGRAM
